periode_data,jenis,kode_trayek,trayek,jumlah_penumpang
201906,ANGKUTAN WISATA,BW7,JAKARTA BELANJA,15826
201906,ANGKUTAN UMUM INTEGRASI RUSUN,2E,RUSUN RAWA BEBEK - PAKIN,10597
201906,ANGKUTAN UMUM INTEGRASI RUSUN,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,21437
201906,ANGKUTAN UMUM INTEGRASI RUSUN,2H,RUSUN JATI RAWASARI - SENEN,3506
201906,ANGKUTAN UMUM INTEGRASI RUSUN,3A,RUSUN PESAKIH - KALIDERES,27967
201906,ANGKUTAN UMUM INTEGRASI RUSUN,3B,RUSUN FLAMBOYAN - KALIDERES,8244
201906,ANGKUTAN UMUM INTEGRASI RUSUN,3C,RUSUN KAPUK MUARA - PENJARINGAN,668
201906,ANGKUTAN UMUM INTEGRASI RUSUN,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2903
201906,ANGKUTAN UMUM INTEGRASI RUSUN,9F,RUSUN TAMBORA - PLUIT,6495
201906,ANGKUTAN UMUM INTEGRASI RUSUN,10A,RUSUN MARUNDA - TANJUNG PRIOK,43548
201906,ANGKUTAN UMUM INTEGRASI RUSUN,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,9655
201906,ANGKUTAN UMUM INTEGRASI RUSUN,11B,RUSUN RAWA BEBEK - PENGGILINGAN,6949
201906,ANGKUTAN UMUM INTEGRASI RUSUN,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,24738
201906,ANGKUTAN UMUM INTEGRASI RUSUN,11K,RUSUN KOMARUDIN - PENGGILINGAN,8506
201906,ANGKUTAN UMUM INTEGRASI RUSUN,11M,RUSUN RAWA BEBEK - BUKIT DURI,32102
201906,ANGKUTAN UMUM INTEGRASI RUSUN,11N,RUSUN CIPINANG MUARA - JATINEGARA,3116
201906,ANGKUTAN UMUM INTEGRASI RUSUN,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,2895
201906,ANGKUTAN UMUM INTEGRASI RUSUN,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7086
201906,ANGKUTAN UMUM INTEGRASI RUSUN,12C,RUSUN WADUK PLUIT- PENJARINGAN,9599
201906,ANGKUTAN UMUM INTEGRASI RUSUN,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),7176
201906,ANGKUTAN UMUM INTEGRASI RUSUN,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,24175
201906,ANGKUTAN UMUM INTEGRASI RUSUN,12H,RUSUN PENJARINGAN - PENJARINGAN,4985
201907,ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,89628
201907,ANGKUTAN UMUM INTEGRASI,8D,JOGLO - BLOK M,89633
201907,ANGKUTAN UMUM INTEGRASI,8E,BINTARO - BLOK M,56618
201907,ANGKUTAN UMUM INTEGRASI,8K,BATUSARI - TANAH ABANG,34794
201907,ANGKUTAN UMUM INTEGRASI,9D,PASAR MINGGU - TANAH ABANG,134679
201907,ANGKUTAN UMUM INTEGRASI,9E,KEBAYORAN LAMA - GROGOL 2,68567
201907,ANGKUTAN UMUM INTEGRASI,9H,CIPEDAK - BLOK M,67007
201907,ANGKUTAN UMUM INTEGRASI,11A,PULO GEBANG - RAWAMANGUN,12089
201907,ANGKUTAN UMUM INTEGRASI,11D,PULO GEBANG - PULO GADUNG 2 (VIA PIK),88443
201907,ANGKUTAN UMUM INTEGRASI,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,62915
201907,ANGKUTAN UMUM INTEGRASI,11T,PULO GEBANG - STASIUN CAKUNG,750
201907,ANGKUTAN UMUM INTEGRASI,11U,PULO GEBANG - STASIUN CAKUNG - CILINCING,9065
201907,ANGKUTAN UMUM INTEGRASI,11E,PULO GEBANG - LEBAK BULUS,0
201907,ANGKUTAN UMUM INTEGRASI,11H,PULO GEBANG - PINANG RANTI,0
201907,ANGKUTAN UMUM INTEGRASI,11F,PULO GEBANG - PASAR MINGGU,0
201907,ANGKUTAN UMUM INTEGRASI,10E,PULO GEBANG - TANJUNG PRIUK,0
201907,ANGKUTAN UMUM INTEGRASI,12A,KOTA - PELABUHAN KALIADEM,14995
201907,ANGKUTAN UMUM INTEGRASI,12B,PLUIT - STASIUN SENEN,32475
201907,ANGKUTAN UMUM INTEGRASI,12E,HISTORY OF JAKARTA EXPLORER,10295
201907,ANGKUTAN UMUM INTEGRASI,12K,ASEMKA EXPLORER,10844
201907,ANGKUTAN UMUM INTEGRASI,MR1,CSW - PAKUBUWONO,1745
201907,ANGKUTAN UMUM INTEGRASI,MR2,CSW - KRAMAT PELA,10984
201907,ANGKUTAN UMUM INTEGRASI,MR3,CSW - WIJAYA,2751
201907,ANGKUTAN UMUM INTEGRASI,MR5,STASIUN MRT BLOK A - RADIO DALAM,5224
201907,ANGKUTAN UMUM INTEGRASI,MR8,CIPETE - ANTASARI,5711
201907,ANGKUTAN UMUM INTEGRASI,,TAMAN MINI - KAMPUNG RAMBUTAN,0
201907,TRANSJABODETABEK,B11,SUMMARECON BEKASI - TOSARI,64512
201907,TRANSJABODETABEK,B12,SUMMARECON BEKASI - TANJUNG PRIOK,40838
201907,TRANSJABODETABEK,B21,BEKASI TIMUR - GROGOL 2,81408
201907,TRANSJABODETABEK,B22,BEKASI TIMUR - JUANDA,5181
201907,TRANSJABODETABEK,D11,DEPOK - BKN,104617
201907,TRANSJABODETABEK,D21,UI - LEBAK BULUS,118297
201907,TRANSJABODETABEK,S11,BSD - GROGOL 2,1207
201907,TRANSJABODETABEK,S21,CIPUTAT - TOSARI,151796
201907,TRANSJABODETABEK,S22,CIPUTAT - KAMPUNG RAMBUTAN,101508
201907,TRANSJABODETABEK,S41,PONDOK CABE - TANAH ABANG,48935
201907,TRANSJABODETABEK,T11,PORIS PLAWAD - BUNDARAN SENAYAN,226258
201907,TRANSJABODETABEK,T12,PORIS PLAWAD - JUANDA,82273
201907,TRANSJABODETABEK,7C,CIBUBUR - BKN,178534
201907,TRANSJABODETABEK,2B,HARAPAN INDAH - ASMI,101314
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,B13,BEKASI BARAT - BLOK M,20112
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,B14,BEKASI BARAT - KUNINGAN,16702
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,B23,BEKASI TIMUR - TEBET,1049
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,B24,BEKASI TIMUR - KALIDERES,5349
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,1K,CIBUBUR JUNCTION - BLOK M,1962
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,1T,CIBUBUR - KOTA,166
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,6P,CIBUBUR - KUNINGAN,16129
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,1U,TAMAN MINI - BALAI KOTA,4971
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,D31,CINERE - KUNINGAN,1886
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,S31,BINTARO - BLOK M VIA JORR,13621
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,S12,BSD - BUNDERAN SENAYAN,15502
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,B15,JATI BENING - BLOK M,4647
201907,ANGKUTAN EKSEKUTIF ROYAL TRANS,B16,JATI BENING - KUNINGAN,1251
201907,ANGKUTAN UMUM LAINNYA,GR1,BUNDARAN SENAYAN - HARMONI (BUS GRATIS),412349
201907,ANGKUTAN UMUM LAINNYA,GR2,TANAH ABANG EXPLORER,236557
201907,ANGKUTAN UMUM LAINNYA,TJC,TRANSJAKARTA CARES,4384
201907,ANGKUTAN UMUM LAINNYA,,GRATIS GATE NON BRT,2896
201907,ANGKUTAN UMUM LAINNYA,,SHUTTLE BUS PULO GEBANG - PULO GADUNG,0
201907,ANGKUTAN UMUM LAINNYA,,SHUTTLE BUS RAGUNAN - SMK 57,0
201907,ANGKUTAN UMUM LAINNYA,,ROMBONGAN TOUR DE BATAVIA,0
201907,ANGKUTAN UMUM LAINNYA,,SHUTTLE THAMRIN 10 - LAPANGAN BANTENG,0
201907,ANGKUTAN UMUM LAINNYA,,SHUTTLE IRTI - LAPANGAN BANTENG,0
201907,ANGKUTAN UMUM LAINNYA,,ROMBONGAN PENGUNGSI PENCARI SWAKA,465
201907,ANGKUTAN UMUM LAINNYA,,PPSU DKI - ANCOL,31978
201907,ANGKUTAN UMUM LAINNYA,,LEBARAN BETAWI,980
201907,ANGKUTAN UMUM LAINNYA,,ROMBONGAN AL IRSYAD - MONAS,398
201907,ANGKUTAN UMUM LAINNYA,,POLDA-GBK,8018
201907,ANGKUTAN UMUM LAINNYA,,ROMBONGAN PKK DKI - VELDROME,1279
201907,ANGKUTAN UMUM LAINNYA,,ROMBONGAN MASJID DKI - JIC,1034
201907,ANGKUTAN UMUM LAINNYA,,ROMBONGAN PJK KAMPUNG KB-DKI,632
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-1,TANJUNG PRIOK-PLUMPANG,73638
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,69157
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-3,LEBAK BULUS - PONDOK LABU,60997
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-4,GROGOL - TUBAGUS ANGKE,69392
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-5,SEMPER - ROROTAN,9559
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,95576
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-7,TANAH ABANG-TAWAKAL,79495
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-10,TANAH ABANG-KOTA,33028
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-11,TANAH ABANG-KEBAYORAN LAMA,42678
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-12,TANAH ABANG- KAMPUNG BARU KEBAYORAN,31709
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-14,TANAH ABANG-MERUYA,100492
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-15,BULAK TURI - TANJUNG PRIOK,168763
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-16,PGC - CONDET,133042
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-17,PULOGADUNG - SENEN,45456
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-18,KALIBATA - KUNINGAN,40766
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-19,PINANG RANTI - SETU,211872
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-20,LUBANG BUAYA - CAWANG UKI,145314
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-21,DWIKORA - CILILITAN,142801
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-22,DWIKORA - PENAS,55883
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-24,PULOGADUNG-PASAR SENEN,94182
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-25,PASAR REBO - KALISARI,76669
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-26,RAWAMANGUN-KALIMALANG,71408
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-27,PULOGEBANG - ROROTAN,74044
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-28,PASAR REBO - TAMAN WILADATIKA,97415
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-29,TANJUNG PRIOK - KELAPA GADING,140472
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-30,MERUYA - CITRALAND,226382
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-31,BLOK M - PONDOK LABU,128106
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-32,PETUKANGAN - LEBAK BULUS,147688
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-33,PULO GADUNG - KOTA,627
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-34,RAWAMANGUN - KLENDER,67201
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-37,CILILITAN - CONDET VIA KAYU MANIS,136511
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-38,KAMPUNG RAMBUTAN - BULAK RINGIN,76616
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-39,KALIMALANG - RAWAMANGUN,59203
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-40,TAMAN HARAPAN BARU - PULOGEBANG,1123
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-44,LENTENG ANGGUNG - ANDARA,69698
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-45,LEBAK BULUS-RAGUNAN,108499
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-47,PASAR MINGGGU-CIGANJUR,9626
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-50,KALIDERES - PURIKEMBANGAN,84704
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-51,TAMAN KOTA - BUDI LUHUR,164212
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-56,GROGOL - SRENGSENG,1647
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-58,ISLAMIC - ROROTAN,8898
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-59,RAWAMANGUN-RAWASENGON,111347
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-60,KELAPA GADING - RUSUN KEMAYORAN,45208
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-61,PULOGADUNG-CEMPAKA MAS,52207
201907,ANGKUTAN INTEGRASI BUS KECIL,JAK-77,TANJUNG PRIOK-JEMBATAN ITEM,34986
201907,ANGKUTAN WISATA,BW1,SEJARAH JAKARTA,102889
201907,ANGKUTAN WISATA,BW2,JAKARTA MODERN,62042
201907,ANGKUTAN WISATA,BW4,PENCAKAR LANGIT,44636
201907,ANGKUTAN WISATA,BW3,ART N CULINARY,15222
201909,LAMPIRAN LAYANAN GRATIS BRT,RSN,GRATIS PENGHUNI RUMAH SUSUN,20316
201909,LAMPIRAN LAYANAN GRATIS BRT,PAS,GRATIS KTP KEPULAUAN SERIBU,384
201909,LAMPIRAN LAYANAN GRATIS BRT,PBS,GRATIS PENERIMA RASKIN,2077
201909,LAMPIRAN LAYANAN GRATIS BRT,TNI,GRATIS TNI/POLRI,0
201909,LAMPIRAN LAYANAN GRATIS BRT,VET,GRATIS VETERAN,0
201909,LAMPIRAN LAYANAN GRATIS BRT,KPD,GRATIS PENYANDANG DISABILITAS,7518
201909,LAMPIRAN LAYANAN GRATIS BRT,PLU,GRATIS LANSIA,401358
201909,LAMPIRAN LAYANAN GRATIS BRT,MAR,GRATIS MARBOT,74
201909,LAMPIRAN LAYANAN GRATIS BRT,PAUD,GRATIS PAUD,6227
201909,LAMPIRAN LAYANAN GRATIS BRT,JMT,GRATIS JUMANTIK,7358
201909,LAMPIRAN RINCIAN GRATIS GATE NON BRT,B11,HALTE MM BARAT,944
201909,LAMPIRAN RINCIAN GRATIS GATE NON BRT,B12,HALTE SUMARECON BEKASI,503
201909,LAMPIRAN RINCIAN GRATIS GATE NON BRT,B21,HALTE BULAK KAPAL,743
201909,LAMPIRAN RINCIAN GRATIS GATE NON BRT,B22,HALTE BTC,347
201909,LAMPIRAN RINCIAN GRATIS GATE NON BRT,6C,HALTE TEBET,912
201910,BRT,1,KORIDOR 1 (BLOK M - KOTA),2491625
201910,BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),901232
201910,BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),1084451
201910,BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),855969
201910,BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),1087309
201910,BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),1063009
201910,BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),1041480
201910,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1107208
201910,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1505715
201910,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),851844
201910,BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),335932
201910,BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),264535
201910,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),783995
201910,ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,115482
201910,ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,5738
201910,ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,32468
201910,ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,60265
201910,ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,176328
201910,ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,65728
201910,ANGKUTAN UMUM INTEGRASI,1M,BLOK M - MERUYA,46245
201910,ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,36016
201910,ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,334
201910,ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,69975
201910,ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,46481
201910,ANGKUTAN UMUM INTEGRASI,2K,JGC - HARAPAN INDAH,2591
201910,ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,38584
201910,ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,49745
201910,ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,23401
201910,ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,215939
201910,ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,16531
201910,ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,137865
201910,ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - SAM RATULANGI,6906
201910,ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,8244
201910,ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,7848
201909,BRT,1,KORIDOR 1 (BLOK M - KOTA),2491625
201909,BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),901232
201909,BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),1084451
201909,BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),855969
201909,BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),1087309
201909,BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),1063009
201909,BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),1041480
201909,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1107208
201909,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1505715
201909,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),851844
201909,BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),335932
201909,BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),264535
201909,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),783995
201909,ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,115482
201909,ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,5738
201909,ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,32468
201909,ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,60265
201909,ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,176328
201909,ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,65728
201909,ANGKUTAN UMUM INTEGRASI,1M,BLOK M - MERUYA,46245
201909,ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,36016
201909,ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,334
201909,ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,69975
201909,ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,46481
201909,ANGKUTAN UMUM INTEGRASI,2K,JGC - HARAPAN INDAH,2591
201909,ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,38584
201909,ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,49745
201909,ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,23401
201909,ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,215939
201909,ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,16531
201909,ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,137865
201909,ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - SAM RATULANGI,6906
201909,ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,8244
201909,ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,7848
201909,ANGKUTAN UMUM INTEGRASI,DA4,DUKUH ATAS - KOTA,8071
201909,ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,38143
201909,ANGKUTAN UMUM INTEGRASI,5B,STASIUN TEBET - BIDARA CINA,43094
201909,ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,56973
201909,ANGKUTAN UMUM INTEGRASI,6C,STASIUN TEBET - KARET VIA PATRA KUNINGAN,23858
201909,ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - STASIUN SENEN,110438
201909,ANGKUTAN UMUM INTEGRASI,6M,BLOK M - STASIUN MANGGARAI,83176
201909,ANGKUTAN UMUM INTEGRASI,6N,RAGUNAN - BLOK M VIA KEMANG,105674
201909,ANGKUTAN UMUM INTEGRASI,6Q,EPICENTRUM - CASABLANCA,13357
201909,ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,10933
201909,ANGKUTAN UMUM INTEGRASI,7B,KAMPUNG RAMBUTAN - BLOK M,109248
201909,ANGKUTAN UMUM INTEGRASI,7D,PANCORAN - TMII,77985
201909,ANGKUTAN UMUM INTEGRASI,7E,KAMPUNG RAMBUTAN - RAGUNAN,16239
201909,ANGKUTAN UMUM INTEGRASI,7N,GANDARIA - KAMPUNG RAMBUTAN,7814
201909,ANGKUTAN UMUM INTEGRASI,7P,PONDOK KELAPA - BKN,26438
201909,ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,7536
201909,ANGKUTAN UMUM INTEGRASI,8D,JOGLO - BLOK M,8923
201909,ANGKUTAN UMUM INTEGRASI,8E,BINTARO - BLOK M,58612
201909,ANGKUTAN UMUM INTEGRASI,8K,BATUSARI - TANAH ABANG,44507
201909,ANGKUTAN UMUM INTEGRASI,9D,PASAR MINGGU - TANAH ABANG,140745
201909,ANGKUTAN UMUM INTEGRASI,9E,KEBAYORAN LAMA - GROGOL 2,64808
201909,ANGKUTAN UMUM INTEGRASI,9H,CIPEDAK - BLOK M,6411
201909,ANGKUTAN UMUM INTEGRASI,11A,PULO GEBANG - RAWAMANGUN,16053
201909,ANGKUTAN UMUM INTEGRASI,11D,PULOGEBANG - PULOGADUNG 2 VIA PIK,83859
201909,ANGKUTAN UMUM INTEGRASI,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,67955
201909,ANGKUTAN UMUM INTEGRASI,11T,PULO GEBANG - STASIUN CAKUNG,693
201909,ANGKUTAN UMUM INTEGRASI,11U,PULOGEBANG - STASIUN CAKUNG VIA CILINCING,9398
201909,ANGKUTAN UMUM INTEGRASI,12A,PELABUHAN KALIADEM - KOTA,13934
201909,ANGKUTAN UMUM INTEGRASI,12B,PLUIT - STASIUN SENEN,40464
201909,ANGKUTAN UMUM INTEGRASI,12E,HISTORY OF JAKARTA EXPLORER,8152
201909,ANGKUTAN UMUM INTEGRASI,12K,ASEMKA EXPLORER,9111
201909,ANGKUTAN UMUM INTEGRASI,MR1,CSW - PAKUBUWONO,307
201909,ANGKUTAN UMUM INTEGRASI,MR2,CSW - KRAMAT PELA,10423
201909,ANGKUTAN UMUM INTEGRASI,MR3,CSW - WIJAYA,4104
201909,ANGKUTAN UMUM INTEGRASI,MR5,STASIUN MRT BLOK A - RADIO DALAM,6859
201909,ANGKUTAN UMUM INTEGRASI,MR8,CIPETE - ANTASARI,6896
201909,ANGKUTAN UMUM INTEGRASI,MR9,SOUTH QUARTER - LEBAK BULUS,8244
201909,ANGKUTAN UMUM INTEGRASI,10K,SENIN - TANJUNG PRIOK,2866
201909,TRANSJABODETABEK,B11,SUMMARECON BEKASI - TOSARI,63747
201909,TRANSJABODETABEK,B12,SUMMARECON BEKASI - TANJUNG PRIOK,43112
201909,TRANSJABODETABEK,B21,BEKASI TIMUR - GROGOL 2,83348
201909,TRANSJABODETABEK,B22,BEKASI TIMUR - JUANDA,52545
201909,TRANSJABODETABEK,D11,DEPOK - BKN,110139
201909,TRANSJABODETABEK,D21,UI - LEBAK BULUS,138423
201909,TRANSJABODETABEK,S11,BSD - GROGOL 2,125578
201909,TRANSJABODETABEK,S21,CIPUTAT - TOSARI,157416
201909,TRANSJABODETABEK,S22,CIPUTAT - KAMPUNG RAMBUTAN,103609
201909,TRANSJABODETABEK,S41,PONDOK CABE - TANAH ABANG,62682
201909,TRANSJABODETABEK,T11,PORIS PLAWAD - BUNDARAN SENAYAN,225668
201909,TRANSJABODETABEK,T12,PORIS PLAWAD - JUANDA,85867
201909,TRANSJABODETABEK,7C,CIBUBUR - BKN,178382
201909,TRANSJABODETABEK,2B,HARAPAN INDAH - ASMI,104683
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,B13,BEKASI BARAT - BLOK M,18607
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,B14,BEKASI BARAT - KUNINGAN,16116
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,B23,BEKASI TIMUR - TEBET,973
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,B24,BEKASI TIMUR - KALIDERES,3338
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,1K,CIBUBUR JUNCTION - BLOK M,19471
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,1T,CIBUBUR - KOTA,15968
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,6P,CIBUBUR - KUNINGAN,18347
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,1U,TAMAN MINI - BALAI KOTA,5439
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,D31,CINERE - KUNINGAN,2247
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,S31,BINTARO - BLOK M VIA JORR,15289
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,S12,BSD - MRT FATMAWATI,19892
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,B15,JATI BENING - BLOK M,5027
201909,ANGKUTAN EKSEKUTIF ROYAL TRANS,B16,JATI BENING - KUNINGAN,1466
201909,ANGKUTAN UMUM LAINNYA,GR1,BUNDARAN SENAYAN - HARMONI (BUS GRATIS),412508
