periode_data,jenis,kode_trayek,trayek,jumlah_penumpang
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-31,BLOK M - PONDOK LABU,95621
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-32,PETUKANGAN - LEBAK BULUS,109894
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-33,PULO GADUNG - KOTA,49437
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-34,RAWAMANGUN - KLENDER,43972
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-37,CILILITAN - CONDET VIA KAYU MANIS,103752
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-38,KAMPUNG RAMBUTAN - BULAK RINGIN,12391
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-39,KALIMALANG - RAWAMANGUN,19
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-44,LENTENG ANGGUNG - ANDARA,63086
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-45,LEBAK BULUS-RAGUNAN,87887
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-50,KALIDERES - PURIKEMBANGAN,58431
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-51,TAMAN KOTA - BUDI LUHUR,95339
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-56,GROGOL - SRENGSENG,9733
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-58,ISLAMIC - ROROTAN,68442
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-59,RAWAMANGUN-RAWASENGON,82053
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-60,KELAPA GADING - RUSUN KEMAYORAN,2638
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-61,PULOGADUNG-CEMPAKA MAS,41925
201906,ANGKUTAN INTEGRASI BUS KECIL,JAK-77,TANJUNG PRIOK-JEMBATAN ITEM,4494
201906,ANGKUTAN WISATA,BW1,SEJARAH JAKARTA,166965
201906,ANGKUTAN WISATA,BW2,JAKARTA MODERN,105409
201906,ANGKUTAN WISATA,BW3,PENCAKAR LANGIT,46245
201906,ANGKUTAN WISATA,BW5,WISATA KALIJODO,3299
201907,ANGKUTAN WISATA,BW5,WISATA KALIJODO,26115
201907,ANGKUTAN WISATA,BW6,MAKAM MBAH PRIUK,2536
201907,ANGKUTAN WISATA,BW7,JAKARTA BELANJA,14549
201907,ANGKUTAN UMUM INTEGRASI RUSUN,2E,RUSUN RAWA BEBEK - PAKIN,15971
201907,ANGKUTAN UMUM INTEGRASI RUSUN,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,23212
201907,ANGKUTAN UMUM INTEGRASI RUSUN,2H,RUSUN JATI RAWASARI - SENEN,4498
201907,ANGKUTAN UMUM INTEGRASI RUSUN,3A,RUSUN PESAKIH - KALIDERES,29007
201907,ANGKUTAN UMUM INTEGRASI RUSUN,3B,RUSUN FLAMBOYAN - KALIDERES,8797
201907,ANGKUTAN UMUM INTEGRASI RUSUN,3C,RUSUN KAPUK MUARA - PENJARINGAN,7663
201907,ANGKUTAN UMUM INTEGRASI RUSUN,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,3115
201907,ANGKUTAN UMUM INTEGRASI RUSUN,9F,RUSUN TAMBORA - PLUIT,6313
201907,ANGKUTAN UMUM INTEGRASI RUSUN,10A,RUSUN MARUNDA - TANJUNG PRIOK,5017
201907,ANGKUTAN UMUM INTEGRASI RUSUN,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,10771
201907,ANGKUTAN UMUM INTEGRASI RUSUN,11B,RUSUN RAWA BEBEK - PENGGILINGAN,7664
201907,ANGKUTAN UMUM INTEGRASI RUSUN,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,30112
201907,ANGKUTAN UMUM INTEGRASI RUSUN,11K,RUSUN KOMARUDIN - PENGGILINGAN,8068
201907,ANGKUTAN UMUM INTEGRASI RUSUN,11M,RUSUN RAWA BEBEK - BUKIT DURI,38165
201907,ANGKUTAN UMUM INTEGRASI RUSUN,11N,RUSUN CIPINANG MUARA - JATINEGARA,3431
201907,ANGKUTAN UMUM INTEGRASI RUSUN,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,3304
201907,ANGKUTAN UMUM INTEGRASI RUSUN,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,8406
201907,ANGKUTAN UMUM INTEGRASI RUSUN,12C,RUSUN WADUK PLUIT- PENJARINGAN,9943
201907,ANGKUTAN UMUM INTEGRASI RUSUN,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),803
201907,ANGKUTAN UMUM INTEGRASI RUSUN,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,30363
201907,ANGKUTAN UMUM INTEGRASI RUSUN,12H,RUSUN PENJARINGAN - PENJARINGAN,6028
201908,BRT,1,KORIDOR 1 (BLOK M - KOTA),2436733
201908,BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),889636
201908,BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),1044886
201908,BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),765042
201908,BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),1049104
201908,BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),1025476
201908,BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),999683
201908,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1074045
201908,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1506442
201908,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),821742
201908,BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),329618
201908,BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),252597
201908,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),754331
201908,ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,113005
201908,ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,61875
201908,ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,37216
201908,ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,57572
201908,ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,164186
201908,ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,66926
201908,ANGKUTAN UMUM INTEGRASI,1M,BLOK M - MERUYA,41257
201908,ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,35025
201908,ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,35003
201908,ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,65226
201908,ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,47665
201908,ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2755
201908,ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,37434
201908,ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,44635
201908,ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,25174
201908,ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,211915
201908,ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,16555
201908,ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,130694
201908,ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - RATULANGI,8004
201908,ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,8037
201908,ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,7886
201908,ANGKUTAN UMUM INTEGRASI,DA4,DUKUH ATAS - KOTA,8517
201908,ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,3715
201908,ANGKUTAN UMUM INTEGRASI,5B,STASIUN TEBET - BIDARA CINA,4388
201908,ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,59768
201908,ANGKUTAN UMUM INTEGRASI,6C,STASIUN TEBET - KARET,244073
201908,ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - STASIUN SENEN,118313
201908,ANGKUTAN UMUM INTEGRASI,6M,BLOK M - STASIUN MANGGARAI,78099
201908,ANGKUTAN UMUM INTEGRASI,6N,RAGUNAN - BLOK M VIA KEMANG,102954
201908,ANGKUTAN UMUM INTEGRASI,6Q,EPICENTRUM - CASABLANCA,12894
201908,ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,105083
201908,ANGKUTAN UMUM INTEGRASI,7B,KAMPUNG RAMBUTAN - BLOK M,106917
201908,ANGKUTAN UMUM INTEGRASI,7D,CAWANG UKI - TMII,74665
201908,ANGKUTAN UMUM INTEGRASI,7E,KAMPUNG RAMBUTAN - RAGUNAN,1497
201908,ANGKUTAN UMUM INTEGRASI,7N,GANDARIA - KAMPUNG RAMBUTAN,6365
